Year,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Belgium,Benin,Bangladesh,Bulgaria,Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Brunei Darussalam,Botswana,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Costa Rica,Caribbean small states,Cuba,Curacao,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Sint Maarten (Dutch part),Seychelles,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1990,1.059805315,9.163726865,0,7.456698649,1.734937196,1.502792215,10.96675339,0.62920041,23.27834579,0,0.596837103,14.11306392,3.747551156,0.00378041,3.887242391,13.09483188,0,0.041123112,21.26030403,36.18151995,5.480680588,1.255459641,2.616545742,4.585883935,4.100154115,5.352545253,9.762542055,17.3391128,0.08627509,0.04495582,0,0,6.81798535,11.77448494,0.336420209,0.747578353,0.052332414,6.775357076,2.648459505,0,18.13882692,0,0.398244779,20.93703568,38.68641017,5.132025004,8.544074164,5.248906233,9.298864702,0.985575615,0,0,3.349441854,0,0,0,8.236512823,3.740801511,2.518596937,12.78433768,2.458403576,2.54264807,0.605296338,0.754573449,1.115580807,71.36008621,3.125494679,3.886330461,0.271778262,1.802495509,14.39311908,0.862468656,4.604945632,11.47174888,0,0,0,15.4336291,0,0,2.200732383,0,0,0,4.903210228,0,28.26089216,0.177655694,4.922801761,0,0,1.377178865,0,0.223422078,0,0,5.827127219,0,4.063893605,1.704593392,0,0,0.960708414,0,0,0,0.412426144,0,1.096981575,0,1.571225829,0,0,0,0.568012026,18.15137254,1.411088099,49.45410927,1.302812425,0,27.37977733,0,3.570901928,12.76549791,9.249121531,18.18360381,0,0,0.118183119,0,4.038283019,4.777970438,76.01269485,0,0,0,0,1.576341079,5.185810331,0,2.610190549,0,0.775096365,0,0,0,0,20.33182499,0,0,4.131519002,0,0,0,15.46519292,25.53858456,50.86715193,0,0,0,0,0,0.646749628,1.022104137,26.73449202,0.343655775,0,0,0,0.079968756,4.650894885,0,1.368658829,0,8.236283468,26.77623422,10.30243953,1.233013999,0,8.034193604,0,0,2.584422303,0,0,0,0,2.516292921,12.54811156,4.041339039
1991,1.102117333,16.16902474,0,7.194504334,1.636404297,1.692250709,10.29513151,0.673385107,22.3506716,0,0.573993037,16.64938443,6.995323448,0.003492127,4.1639061,13.37343408,0,0.044245006,23.31408836,35.76162301,7.884957872,1.276025111,2.412628784,4.567471544,3.828738949,5.021665665,9.737660507,17.66497143,0.094400666,0.062688025,0,0,7.260773029,11.528324,0.362232055,1.07742101,0.107377533,6.559967679,2.638448756,0,18.01622841,0,0.39229511,21.60293256,38.63915555,4.983974753,8.826215867,6.349435901,9.595703893,1.53884508,0,0,3.257424935,0,0,0,8.283255062,6.190509646,1.832149632,13.42179208,2.293708078,2.421908459,0.6431187,0.789550633,0.48508918,72.16138209,3.299775863,4.378401686,0.295376478,1.733723642,15.0741444,0.826186129,4.52252949,12.74399753,0,0,0,15.00608209,0,0,1.991455268,0,0,0,4.785642074,0,26.46713343,0.19957047,3.806307402,0,0,1.316952573,0,0.363770036,0,0,5.911520307,0,4.167780627,3.004275226,0,0,1.015477364,0,0,0,0.471260618,0,0.962592047,0,1.40727444,16.36826435,0,0,0.732796657,19.72903986,1.278305194,43.53402045,1.295034446,0,27.0767458,0,3.806315512,10.83391495,10.3501032,18.81037713,0,0,0.121325436,0,4.068917238,4.685951999,79.49907209,0,0,0,0,2.443926232,5.297319645,0,2.536226592,0,0.841442703,0,0,0,0,17.4780388,0,0,5.865223815,0,0,0,16.55957852,28.81062877,52.26093433,0,0,0,0,0,1.282855889,0.867780647,27.81451912,0.396047446,0,0,0,0.193097755,4.668547516,0,1.494418031,0,8.158544469,21.53549323,10.80934321,1.078730326,0,9.26416662,0,0,3.000032692,0,0,0,0,2.68818847,13.79493119,2.750522257
1992,1.192545009,20.42684655,0,7.033639566,6.337679517,1.613881232,11.88207929,0.825793252,22.43166795,0,0.516551165,15.57957697,6.587891943,0.003952484,3.816578312,13.62398428,0,0.056786751,22.49595593,36.34258751,9.299025213,1.310585368,1.848741185,4.570781594,4.32837898,4.490292009,7.650608608,25.87946565,0.078892053,0.055194381,0,0,7.603561179,12.70835875,0.464129654,1.021378583,0.071245913,6.35019885,2.519319743,0,16.9989736,0.001309683,0.407384313,23.29118979,40.53568468,4.695471468,9.66116131,6.459625378,10.01244122,1.185711094,0,0,2.601206394,0,0,0,7.530046368,5.000540145,1.705858908,14.87918425,2.43037759,2.358129753,0.716810092,1.013042874,0.253933791,70.23614541,3.028987531,4.574200806,0.254304776,1.56134138,15.05237647,0.748914274,4.234651376,15.8896401,0,0,0,13.53917082,0,0,2.526747739,0,0,0,4.340553492,0,35.47368844,0.165732608,3.550966506,0,0,0.97760093,0,0.32536063,0,0,6.325368284,0,4.256129128,2.700082008,0,0,1.205728735,0,0,0,0.468210281,0,1.362340905,0,1.262765839,13.36717039,0,0,0.720143209,19.22023534,1.486966374,45.36787603,1.178546321,0,25.21773518,0,4.198628224,8.82710062,8.972680647,17.6232706,0,0,0.131491551,0,4.406598885,2.313810553,73.8160038,0,0,0,0,2.150192047,5.827184524,0,2.522261196,0,0.883381377,0,0,0,0,16.16163506,0,0,6.315148775,0,0,0,16.8358833,25.76245925,49.32970525,0,0,0,0,0,0.840528629,0.752820961,33.06176248,0.003313186,0,0,0,0.107344331,5.208838368,0,1.410404712,0,9.063623802,25.25367958,10.57484514,1.193261848,0,8.789640049,0,0,3.288724845,0,0,0,0,2.805386274,9.858564705,2.671275655
1993,1.220019931,21.41494442,0,8.131124899,16.83887228,1.652880703,12.37867117,1.279680506,22.15375953,0,0.373690149,17.35584472,5.492085307,0.005186916,4.238696929,13.74072801,0,0.056617008,23.54359723,38.28013448,9.670367546,1.467279124,1.872034404,4.581295117,3.874761723,3.778373907,9.144091323,26.63878254,0.067220147,0.066896498,0.053846882,0,8.068572881,12.42716067,0.50885998,2.232189658,0.125931941,7.955889286,2.626158167,0,18.32263549,0.001581599,0.429077365,22.32346067,43.00446693,4.425375244,11.05154383,7.466782817,9.105502287,1.271568006,0,0,2.77396606,0,0,0,7.589376093,5.061844931,1.506823999,14.37870217,2.154040182,2.216626301,0.667583398,0.969826342,0.167223934,69.90502429,3.037092508,4.672436014,0.209833008,1.592174951,16.6267027,0.999788353,4.279184163,20.18714142,0,0,0,12.48595484,0,0,1.73451999,0,0,0,5.389181918,0,36.20459523,0.156432492,4.68713165,0,0,0.432901613,0,0.528971655,0,0,6.472203355,0,4.409679512,2.015066932,0,0,1.365210148,0,0,0,0.486062346,0,1.200628773,0,1.30487118,10.45013936,0,0,0.65178782,17.97400781,1.530428524,43.55919907,1.192022839,0,25.94935244,0,3.657876905,10.56064465,10.23538746,17.71115514,0,0,0.126766645,0,4.487453413,4.227692487,82.30638496,0,0,0,0,2.407411821,6.170856242,0,2.356741855,0,0.911270005,0,0,0,0,15.33044758,0,0,6.838762652,0,0,0,18.53438045,23.88831971,48.22638916,0,0,0,0,0,1.503217707,0.623423278,45.37900452,0.004097111,0,0,0,0.103797138,6.108138864,0,1.412279385,0,10.56677399,24.93290271,10.42812733,1.343740013,0,9.479238174,0,0,3.340124043,0,0,0,0,2.004733639,12.3028558,1.821425112
1994,1.210327457,22.91392142,0,8.444836886,21.92181082,1.63695176,12.0951402,1.06304036,20.24498963,0,0.498430439,19.39453843,20.72899986,0.006108145,3.373867078,13.40945753,0,0.059155561,24.51442905,40.17381817,8.558015543,1.897854859,1.951600071,4.247522242,3.69739183,3.929487189,10.16454246,27.07879214,0.082251777,0.038788685,0.052872116,0,8.564091086,12.3604824,0.541626771,0.917460573,0.061438612,8.400254363,2.85630861,0,17.52838291,0.004701236,0.442805517,19.99835803,44.28380132,5.245548855,10.87358682,12.43145688,8.459970928,1.376770319,0,0,2.796659468,0,0,0,5.883008466,6.167401927,1.394966758,15.10880146,3.246634726,2.45643542,0.765514305,0.66209153,0.137751747,69.96920527,2.987591159,4.775542468,0.254409285,1.468046926,16.40389232,1.357791634,4.206664418,36.08359324,0,0,0,11.73915668,0,0,1.851022257,0,0,0,6.045251974,0,25.95221638,0.208038628,5.9534669,0,0,0.766480688,0,0.469725422,0,0,5.632314189,0,4.554539555,2.927098064,0,0,1.215746902,0,0,0,0.511758945,0,0.893098708,0,1.755984438,6.738892407,0,0,0.666973968,15.59245056,1.537768364,41.65729001,1.227844125,0,25.72790032,0,4.094758949,10.44815707,10.67450303,18.49979281,0,0,0.154910476,0,5.09167416,5.270291116,87.2984913,0,0,0,0,2.607923331,6.230842529,0,2.615434223,0,0.807795851,0,0,0,0,15.01895026,0,0,7.458561619,0,0,0,20.97737221,26.54554407,48.60676158,0,0,0,0,0,0.855327485,0.687106955,57.69151314,0.002585577,0,0,0,0.060023989,5.768024149,0,1.225459837,0,11.45220934,26.70603107,10.54813766,1.320852454,0,8.833607262,0,0,3.873287769,0,0,0,0,2.668334237,12.14449913,1.863942251
1995,1.218061875,27.19568051,0,7.677003906,14.85195051,1.561709743,12.04022221,0.962473004,20.24657876,0,0.2012057,20.37036516,20.96777648,0.006950151,2.885347943,13.9621556,0,0.034615536,23.28994242,39.98289968,8.633871088,2.01331397,2.976809739,4.275537187,4.126553113,3.762314957,10.02134485,24.77917697,0.088284971,0.058593263,0.052345783,1.828831173,8.092260593,12.47501145,0.567144179,0.989900514,0.068462235,5.658962024,2.79411197,0,16.36196819,0.003303258,0.450332282,21.16470589,44.20773832,5.072036397,10.92912911,12.01087979,8.102596023,1.725691742,0,0,3.069591043,0,0,0,5.094851678,6.251585319,1.285023961,14.5247061,3.398817457,2.260246902,0.589412263,0.619267378,0.145962493,70.66223642,2.991857901,4.037562986,0.257826773,1.385906736,17.61379318,1.371404066,4.993950942,40.10410353,0,0,0,12.24679752,0,0,1.428229943,0,0,0,6.375730686,0,36.43603159,0.240359116,5.495305704,0,0,0.562714032,0,0.590579344,0,0,7.184410394,0,4.640426412,3.342259574,0,0,1.182709896,0,0,0,0.518656121,0,1.483977264,0,1.54786023,10.38437212,0,0,0.641852556,13.34623235,1.505555577,44.47436887,1.485077854,0,26.19822257,0,3.962773421,10.41360878,10.05001372,17.280714,0,0,0.163217132,0,5.554706743,3.819917314,92.21300806,0,0,0,0,3.081199661,6.496677327,0,2.432126298,0,0.697813905,0,0,0,0,15.10482848,0,0,7.603096988,0,0,0,19.12898832,25.13407875,47.87275611,0,0,0,0,0,1.400154253,0.933551528,56.41399699,0.002512506,0,0,0,0.057784517,6.025997409,0,1.200817529,0,11.75020972,19.58073824,10.96264468,1.244966001,0,9.446592815,0,0,4.158292299,0,0,0,0,2.888255946,11.61473,1.996821709
1996,1.216598781,34.70792219,0,6.986500004,41.59568794,1.424554045,10.49620955,1.125623317,20.12951219,0,0.397353188,21.64195072,25.4072811,0.005414402,3.027954281,13.84437595,0,0.035480355,22.99298117,37.27279634,7.128986313,1.993303213,2.647207884,4.346768685,3.94685765,5.172175028,10.79603967,26.25472319,0.082388283,0.068886655,0.050990876,1.70187317,8.21251247,12.60078838,0.519442354,1.355095045,0.049457777,6.601210899,2.665263545,0,18.2914128,0.003005072,0.460502643,19.59973633,43.68598053,4.741613566,11.08511733,13.77401276,8.51032494,1.989492019,0,0,2.942400588,0,0,0,6.18450386,8.379720872,1.203543538,14.38521575,3.499927078,2.194381084,0.558149675,0.651168907,0.145786789,69.21844181,3.052818662,4.448936155,0.259931983,1.359111198,17.87380819,1.390142584,4.968700971,38.22468978,0,0,0,12.4018429,0,0,1.512434794,0,0,0,4.161712637,0,39.64161589,0.161544668,3.53986333,0,0,1.714931794,0,0.776236643,0,0,7.210135406,0,4.769547901,2.878328999,0,0,1.200083541,0,0,0,0.603197286,0,1.133950581,0,1.166128978,7.279604243,0,0,0.615692323,11.96179486,1.482793782,39.193307,1.477734608,0,24.72435385,0,3.343669834,12.09937437,10.13987778,17.89345053,0,0,0.160423498,0,5.561080137,6.652294041,95.86775749,0,0,0,0,3.596177285,6.662502023,0,2.288958018,0,0.752692045,0,0,0,0,16.58731674,0,0,7.476792266,0,0,0,18.22764442,24.14380716,46.25760871,0,0,0,0,0,0.930431193,0.91413411,59.34844489,0.003594931,0,0,0,0.094971661,6.249969647,0,1.347225,0,14.32337964,17.4959139,10.92574862,1.26950307,0,9.2756418,0,0,4.468151793,0,0,0,0,3.007353868,10.58781731,1.898190506
1997,1.126308332,35.71220329,0,7.755529647,28.91413158,1.48344624,11.17436249,1.300528393,22.02482584,0.007707892,0.370076064,23.39505395,14.85786987,0.007124485,3.04910166,13.92098917,0,0.033816004,21.46046744,38.71194835,7.162312611,2.08286147,2.735595859,4.55653264,3.199226613,5.345730348,9.867410827,30.69391667,0.092473751,0.091749858,0.028943536,1.791186069,7.889609848,13.40407385,0.864719204,0.935758747,0.026813651,6.54932921,2.654771927,0.008263883,16.57389413,0.004596131,0.464285306,20.14675182,44.78538886,4.921049877,11.8571688,15.81743531,8.421307501,1.761282383,0,0,2.769925188,0,0,0,5.789387189,5.897996225,0.839856463,14.46424643,3.509043775,2.303613391,0.524225796,0.545403225,0.124889341,70.20301711,3.050927293,4.444332045,0.280339655,1.368608525,18.71591692,1.415166764,4.664180011,36.26034751,0,0,0,11.90027776,0,0,1.515738449,0,0,0,4.256576621,0,36.18335558,0.237961791,5.735173247,0,0,1.770815169,0,0.848736467,0,0,6.864595224,0,4.755906862,3.33768189,0,0,1.200303776,0,0,0,1.274607709,0,0.977469798,0,0.748137927,5.086611043,0,0,0.605590797,8.915467209,0.932421016,39.14577787,1.287215941,0,22.48194616,0,3.448850912,11.25246541,10.3809383,18.42791736,0,0,0.165255382,0,4.99704044,5.657544473,0,0,0,0,0,6.490415985,6.994346464,0,2.386529485,0,0.723057678,0,0,0,0,15.22001404,0,0,6.28292521,0,0,0,17.87598077,23.94006367,48.20033453,0,0,0,0,0,0.462089107,0.880340404,55.08232096,0.003590322,0,0,0,0.060469965,5.972767527,0,1.106126998,0,15.01674566,19.3641178,10.11519589,1.105076389,0,9.909076807,0,0,4.025225769,0,0,0,0,3.198496413,11.25398733,1.881808399
1998,1.367893399,31.70343624,0,7.053116127,28.80813927,1.353297392,11.3387908,1.427720633,21.11123373,0.007813937,0.427083611,23.34989922,11.70279065,0.009697236,2.999142948,14.1973292,0,0.029956662,19.68735045,38.53412416,5.821007945,2.179881537,2.009840278,4.463234643,2.926975794,4.050213169,9.215204245,28.66918723,0.085496717,0.073030262,0.025311333,1.717058963,8.509588182,12.85987973,1.266087298,1.597778963,0.074272106,6.347815044,2.526173287,0.012711739,16.63638744,0.006716018,0.528986218,21.46938291,42.68108032,4.643390755,11.94255659,18.02954586,4.454143606,1.644794325,0,0,3.011471599,0,0,0,4.973240467,5.884358429,1.284025505,14.60142964,3.889544494,2.547263638,0.736334381,0.544129677,0.178671654,71.93131508,3.125490223,4.471001503,0.279550791,1.380654197,19.71930185,1.342558578,4.661838905,30.97232912,0,0,0,15.21434753,0,0,1.358924706,0,0,0,4.755658936,0,38.82338478,0.361042826,8.578484256,0,0,1.482251095,0,0.907365693,0,0,6.474212031,0,4.832054848,3.869372842,0,0,0.657772836,0,0,0,8.831930871,0,1.036941768,0,0.986583453,7.927762502,0,0,0.621039692,5.34747189,1.427058569,39.50233916,1.336138052,0,24.54554545,0,3.392264951,7.152756672,10.76313573,21.51318284,0,0,0.209154511,0,5.104602452,5.237904151,0,0,0,0,0,7.325878179,7.048331845,0,2.587057227,0,0.70754144,0,0,0,0,14.29484611,0,0,6.361527058,0,0,0,19.00571651,24.97874483,50.24397061,0,0,0,0,0,0.799522621,0.675830597,54.06029555,0.00411942,0,0,0,0.090786198,6.268382558,0,1.489661239,0,15.4474034,26.55247582,10.47803349,0.991015443,0,9.518512733,0,0,3.595023776,0,0,0,0,3.410229002,10.65331786,1.668368751
1999,1.098361843,25.41877718,0,6.07307769,35.16511387,1.393487205,12.50177614,1.185037109,22.31560028,0.007490656,0.405898958,23.83357395,14.35645193,0.006757603,3.503002261,14.06342665,0,0.029008836,19.84177736,40.70481091,4.669750426,2.154808711,2.147233937,4.738733682,3.269738607,1.142842755,11.29498926,32.52134179,0.077338064,0.074536854,0.033611278,1.753735137,9.319355007,13.90163566,1.419613076,2.273472875,0.065693462,7.78143138,2.96855016,0.012259846,15.11682821,0.00714569,0.505043833,21.84537387,43.76325259,4.882007562,11.40919077,19.91036934,5.788035061,1.973224578,0,0,3.071253287,0,0,0,6.280161346,7.245442791,1.677117957,14.87587722,3.829180728,2.453770732,0.668426606,0.339173097,0.235882171,75.493466,3.227101881,4.720439687,0.276730223,1.408398885,18.47443368,1.468067502,3.983632899,43.28348867,0,0,0,15.76737529,0,0,0.587315475,0,0,0,4.746976213,0,33.42964277,0.283161512,5.965316919,0,0,0.647251494,0,1.040627548,0,0,6.872067041,0,4.897525374,4.973500616,0,0,0.716961774,0,0,0,9.736649294,0,0.283120737,0,1.509540522,9.374376419,0,0,0.638302683,4.946493908,1.453627637,39.59509017,1.579987365,0,22.97751926,0,2.825120664,10.59679159,10.62298254,25.31258815,0,0,0.200389034,0,4.811859185,2.967776024,0,0,0,0,0,8.093855061,7.544608225,0,2.449309821,0,0.739291691,0,0,0,0,17.56477041,0,0,9.276010932,0,0,0,21.54430944,24.03628245,50.39865976,0,0,0,0,0,0.418771041,0.432906975,59.27179153,0.002899338,0,0,0,0.109788371,5.546634837,0,1.457924286,0,14.81748098,14.61590755,10.89464072,0.954011293,0,10.44550784,0,0,4.336848731,0,0,0,0,3.118885967,10.8789816,2.362053606
2000,1.090812748,22.09401929,0,6.639949322,31.31941825,1.384669061,12.90331749,1.167916245,21.67167361,0.00867517,0.352722599,26.75137296,10.07963223,0.009449049,3.410114423,14.82316859,0,0.027905904,19.64768742,40.80475289,6.327048241,2.302452711,2.234248192,4.691411167,3.697433648,3.573883742,10.68573533,33.76431662,0.693023147,0.060090912,0.032695051,1.660601909,9.029652753,13.96095785,2.022073178,1.450866825,0.01720342,7.445288379,2.931238817,0.012148763,15.66258983,0.009120958,0.460279722,21.98462011,45.29365796,4.695813832,10.181022,17.77276045,9.055781642,1.686459597,0,0,3.328803499,0,0,0,6.498235018,6.630945006,1.210665677,15.24585075,5.931636586,2.492387641,0.68011777,0.257743465,0.202386057,77.33487571,3.281955617,4.733933244,0.259355958,1.410141766,18.39789937,1.81525507,3.448386704,47.56553063,0.002520244,0,0,15.29836603,0,0,0.864286393,0,0,0,3.313378935,0,31.90328667,0.387710769,6.335898282,0,0,0.610335426,0,1.124618574,0,0,6.740620396,0,5.110848102,4.356327122,0,0,1.267007662,0,0,0,11.57269455,0,0.817189486,0,1.22537528,11.77350882,0,0,0.562516099,5.295048863,1.509720366,46.6238989,1.731091929,0,24.02058104,0,3.120551244,11.44213092,11.81079375,26.67002117,0,0,0.207837996,0,4.448976147,4.376916942,0,0,0,0,0,7.451446702,7.844663654,0,2.495780757,0,0.764630018,0.007173087,0,0,0,19.57982272,0,0,7.517736613,0,0,14.12692926,26.4630545,24.48864807,45.71437692,0,0,0,0,0,0.407440817,0.719309051,56.13493421,0,0,0,0,0.10241024,4.744586358,0,1.363914757,0,15.78966546,19.61215296,10.76954148,0.993929312,0,10.54793256,0,0,4.354760113,0,0,0.297222321,0,3.196191618,10.66413479,2.744493184
2001,1.165133129,16.80172454,0,8.586295945,29.9675183,1.449409583,11.85572636,0.977629407,20.92040113,0.00815728,0.427493801,27.12155355,10.60839603,0.010454633,4.797420889,14.05785989,0,0.027582638,19.48099953,40.27180554,7.31599485,2.659849517,2.370572195,4.679780926,3.564152406,3.609694551,10.63751293,35.15834802,0.627432204,0.051828614,0.125487793,1.627586337,9.571737036,13.74383145,1.992872823,1.198761706,0.021937475,6.522539213,2.896344942,0.011594562,16.58965759,0.012245663,0.523629937,21.27888088,44.64983567,4.783022639,10.69209898,18.92318262,8.998040415,1.243010144,0,0,2.92173718,0,0,0,5.07634325,7.108515769,1.184933458,14.8442816,7.138004709,2.603819268,0.55789555,0.328025072,0.183103863,77.0645391,3.276739133,4.783664838,0.134894555,1.431476499,18.54338779,2.012124992,4.364377578,46.845231,0.002507176,0,0,15.50218464,0,0,0.627463862,0,0,0,3.333384268,0,36.75077999,0.347157204,5.932104864,0,0,0.792939753,0,1.062297862,0,0,6.159603886,0,5.280613587,2.986514655,0,0,1.248571778,0,0,0,13.49372921,0,0.575590296,0,1.193004906,8.614077009,0,0,0.562515227,7.643452608,1.482493032,38.55671105,1.898769622,0,21.76716062,0,3.418896282,7.379130404,13.29291868,25.03899398,0,0,0.228300799,0,4.475329476,5.404757205,99.43006954,0,0,0,0,7.354626718,8.160373382,0,2.621243179,0,0.782380455,0.006636484,0,0,0,22.42055389,0,0,7.154539865,0,0,13.62564856,26.56836851,25.18733173,50.73394348,0,0,0,0,0,0.200119008,0.730999405,57.60632063,0,0,0,0,0.086991187,4.444041276,0,1.597021594,0,15.57558209,29.15958437,10.65769598,1.011011673,0,9.796410799,0,0,5.110238068,0,0,0.242680922,0,2.653850275,10.52687898,2.554601745
